name,homepage,citations,hindex,i10index,affiliation,score
Rui Qian,https://scholar.google.com/citations?user=HrzHNbAAAAAJ&hl=en,,,,,31.232
Tsu-Jui Fu,https://scholar.google.com/citations?user=7QRDcC0AAAAJ&hl=en,,,,,54.037
Xinze Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Wei Liu,https://scholar.google.com.sg/citations?user=nGDUr3kAAAAJ&hl=en,,,,,76.661
Yinfei Yang,https://scholar.google.co.in/citations?user=kvDbu90AAAAJ&hl=en,,,,,120.482
Alex Schwing,https://scholar.google.com.tw/citations?user=3B2c31wAAAAJ&hl=en,,,,,186.451
Stefano Zampini,https://scholar.google.co.th/citations?user=Hp-WEuoAAAAJ&hl=en,,,,,60.478
Luca Oneto,https://scholar.google.com/citations?user=6iuNKAIAAAAJ&hl=en,,,,,109.478
Davide Anguita,https://scholar.google.com/citations?user=8v2Jpf0AAAAJ&hl=en,,,,,108.604
Ferdinando Fioretto,https://scholar.google.com/citations?user=ASf9Q04AAAAJ&hl=en,,,,,66.015
Jiawei Ren,https://scholar.google.com/citations?user=YUKPVCoAAAAJ&hl=en,,,,,49.638
Yan Zhuang,https://scholar.google.com/citations?user=y8Z43QcAAAAJ&hl=en,,,,,58.764
Xuhong He,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Yiqing Yang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Xianrui Zhong,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Eric Liu,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Rajiv Mandya Nagaraju,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Dhruv Vivek Sharma,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Tianmin Shu,https://scholar.google.com.gt/citations?user=YT_ffdwAAAAJ&hl=en,,,,,59.863
Zhiting Hu,https://scholar.google.com.ec/citations?user=N7_xhHoAAAAJ&hl=en,,,,,128.993
Christopher D Manning,https://scholar.google.co.in/citations?user=1zmDOdwAAAAJ&hl=en&oi=ao,,,,,404.0
Christopher Potts,https://scholar.google.com/citations?user=3j08YoAAAAAJ&hl=en,,,,,194.0
Changsheng Wang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Sijia Liu,https://scholar.google.com/citations?user=C7dO_UgAAAAJ&hl=en,,,,,143.908
Daniel D. Richman,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Jessica Karaguesian,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Ron O. Dror,https://scholar.google.com/citations?user=GTmdNU0AAAAJ&hl=en,,,,,248.0
Pengrun Huang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Kamalika Chaudhuri,https://scholar.google.com/citations?user=X8H76XIAAAAJ&hl=en,,,,,120.993
Qinqing Zheng,https://scholar.google.co.id/citations?user=Jwnl3v0AAAAJ&hl=en,,,,,34.132
Dmitry Guskov,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Qingru Zhang,https://scholar.google.com/citations?user=7YM-faYAAAAJ&hl=en,,,,,28.471
Han Cai,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Weiyuan Xu,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Tushar Krishna,https://scholar.google.com/citations?user=P__ztgcAAAAJ&hl=en,,,,,126.687
Yilun Du,https://scholar.google.com.ar/citations?user=GRMMc_MAAAAJ&hl=en,,,,,143.008
Tsachy Weissman,https://scholar.google.com/citations?user=nTiSnwUAAAAJ&hl=en,,,,,117.221
Murat A Erdogdu,https://scholar.google.com.tr/citations?user=Lqc4cdAAAAAJ&hl=en,,,,,72.132
Richard E. Turner,https://scholar.google.com.co/citations?user=DgLEyZgAAAAJ&hl=en,,,,,135.489
Roger Baker Grosse,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Gleb Rodionov,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Roman Garipov,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Erik Schultheis,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Dan Alistarh,https://scholar.google.ru/citations?user=75q-6ZQAAAAJ&hl=en,,,,,110.221
Abdelrahman Eldesokey,https://scholar.google.com.co/citations?user=9tP8jsUAAAAJ&hl=en,,,,,24.582
Bernard Ghanem,https://scholar.google.com/citations?user=rVsGTeEAAAAJ&hl=en,,,,,218.207
Peter Wonka,https://scholar.google.com/citations?user=0EKXSXgAAAAJ&hl=en&oe=ASCII,,,,,188.39
Lin Guo,https://scholar.google.co.in/citations?user=EMLfs3sAAAAJ&hl=en,,,,,54.494
Wei Xie,https://scholar.google.com/citations?user=RD0bucUAAAAJ&hl=en,,,,,47.321
Rui Wang,https://scholar.google.com/citations?user=IdNvgY0AAAAJ&hl=en,,,,,67.428
Xinmei Tian,https://scholar.google.com/citations?user=-tels3wAAAAJ&hl=en,,,,,106.42099999999999
Mingming Gong,https://scholar.google.co.id/citations?user=6BmiCJIAAAAJ&hl=en,,,,,130.036
Kun Zhang,https://scholar.google.com/citations?user=RGoypN4AAAAJ&hl=en,,,,,192.054
Bo Han,https://scholar.google.com/citations?user=BhRa314AAAAJ&hl=en,,,,,93.712
Rui Xu,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Xintao Wang,https://scholar.google.com/citations?user=FQgZpQoAAAAJ&hl=en,,,,,161.177
Jiangjie Chen,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Jun Luo,https://scholar.google.com/citations?user=HX4WvTUAAAAJ&hl=en,,,,,165.387
Hanwang Zhang,https://scholar.google.com/citations?user=8973V0wAAAAJ&hl=en,,,,,56.478
Chao Ma,https://scholar.google.com/citations?user=UWGWla4AAAAJ&hl=en,,,,,67.926
Xiaoqian Shen,https://scholar.google.com/citations?user=uToGtIwAAAAJ&hl=en,,,,,33.141
Wenxuan Zhang,https://scholar.google.co.in/citations?user=tr7MWA4AAAAJ&hl=en,,,,,67.393
Mohamed Elhoseiny,https://scholar.google.co.kr/citations?user=iRBUTOAAAAAJ&hl=en,,,,,126.14099999999999
Zhiwei Jiang,https://scholar.google.com/citations?user=gkGJld8AAAAJ&hl=en,,,,,23.740000000000002
